seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
84,300,100,2,2,0.2,0.5,920.2614130999351,2.372842830433638,800.1605781104146,21.925908771539362,18.118652783332443,18.118601464776397,8923.535890698433,1111.542631356977,optimal,14635.162743593099,17
85,300,100,2,2,0.2,0.5,648.7551326990775,3.2240554522701865,578.798717998615,21.426190188552763,19.308986129850584,19.292449632207443,6189.773365199566,1125.8601732365787,optimal,14957.083157912724,17
86,300,100,2,2,0.2,0.5,2472.9535551022987,3.3700037238241203,1135.0778537427905,20.685683660860366,19.702493821503854,20.372863867468308,18226.89102527965,806.0759402373806,optimal,14458.620458113552,51
87,300,100,2,2,0.2,0.5,1233.9625164596414,3.645392635303004,988.1305629463315,20.56717727347155,21.95062319270943,21.948724730106402,7489.491929038428,653.8980040410534,optimal,14408.416826239561,27
88,300,100,2,2,0.2,0.5,1524.9659930120704,3.189475168239532,1045.7215108852383,20.913330927217693,19.776390962404523,19.77637781593156,7196.98379048612,1145.1442226031795,optimal,14670.234081925424,26
89,300,100,2,2,0.2,0.5,1340.5423166398925,3.146522451158607,924.8483109519167,20.04683766951472,21.97392668627477,21.971462267686437,11603.828451285139,1209.5083512021229,optimal,14431.999102619084,26
90,300,100,2,2,0.2,0.5,794.5710128139282,2.284597426507911,646.3842586837937,21.3724307308854,18.863990370090974,18.863575640860173,6406.775038287975,1098.9593322603032,optimal,14524.497248962765,21
91,300,100,2,2,0.2,0.5,2173.7021614796195,3.3283987830090465,1241.9617344609867,20.373083979811884,22.749856860598342,22.747987476539347,18843.332347503863,986.9277663799003,optimal,14600.172482170998,42
92,300,100,2,2,0.2,0.5,1461.3838092569047,3.200792555740507,869.0996280170147,21.420481460121998,19.124254421113072,20.00210124128003,7826.597632494755,1057.7697555692866,optimal,14505.447155622587,28
93,300,100,2,2,0.2,0.5,2.864244050525025,3.0284608238072073,34.49315024082791,21.146748692597253,19.28057382130059,20.01237730043888,41.308312667533755,1110.8469604756683,optimal,14466.486864581639,15
94,300,100,2,2,0.2,0.5,2036.5451896764503,2.2208964998889,1174.3925160260171,21.251809786508847,20.78964085709064,20.788504424709412,13909.070570019074,1021.4162656730041,optimal,14054.515468999616,62
95,300,100,2,2,0.2,0.5,1472.9595368894934,2.8163772131576654,943.8675946496402,20.57388926710529,21.671953892227357,21.669951957077842,7336.668817616068,808.7621917808428,optimal,13988.259805160322,24
96,300,100,2,2,0.2,0.5,1881.863375236563,3.4972855522678143,1140.109995594307,20.746790880680056,22.04890454878648,22.049017487653206,19707.633030509576,844.951705114916,optimal,14101.740952417826,27
97,300,100,2,2,0.2,0.5,2299.7263992746302,2.6796745009214527,1230.4258553590453,21.001361298945604,20.663945600827542,20.664518474216308,9524.619435388595,222.22895111516118,optimal,14140.73275448672,36
98,300,100,2,2,0.2,0.5,3642.9687245488903,2.806679445036824,1656.890379322919,22.12972711848896,17.947021187308415,17.94699500177634,14932.059496530332,1005.3505839183927,optimal,14864.94172608726,112
99,300,100,2,2,0.2,0.5,2704.4585793325828,2.9706002735637123,1186.9521528540702,20.961294845207778,20.69080944199544,20.36596406278703,6582.731722797267,488.0442420626059,optimal,14385.881936000946,56
