seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
58,300,100,2,2,0.2,0.5,1799.9398586828993,2.843455947119237,1202.5019688275815,20.56181324704185,21.602920692242296,21.604682277554424,19470.941934364848,1201.2513084216043,optimal,14320.807502248786,37
59,300,100,2,2,0.2,0.5,951.4707095768306,2.722979005608511,855.6276271272914,19.97827434947804,24.23846586839029,24.23855968164371,16587.02576568257,1552.1121744373813,optimal,13603.531028752723,26
60,300,100,2,2,0.2,0.5,2631.753300916876,2.4778252842143558,1389.2857663577074,20.955023939068592,20.47982650245859,20.479832956657678,11256.247111068107,1576.6210878035054,optimal,14576.289471678532,56
61,300,100,2,2,0.2,0.5,913.6108080474842,2.658704239518911,1231.6544638064922,20.837054505992285,20.427181275759832,20.425000403531048,24975.396297815256,963.7663425514475,optimal,14387.615519366911,150
62,300,100,2,2,0.2,0.5,1725.7830438928067,3.135945548369788,1088.2631551267673,20.609592747948565,21.773429167757335,21.775135175736793,20921.054512052797,1079.8695398597047,optimal,14134.788855548455,41
63,300,100,2,2,0.2,0.5,2334.7066283089284,2.2852933056244886,1590.2696184462463,21.074635382664958,19.77549120985902,19.77542879155909,37666.243377612904,281.3572670556605,optimal,14310.628110788299,150
64,300,100,2,2,0.2,0.5,1046.221185292754,3.111875654006702,852.8893677655892,21.310199444611744,19.676890622788253,19.674824658298395,17035.564812983386,1569.269783382304,optimal,14703.125823890263,29
65,300,100,2,2,0.2,0.5,3999.6885704672322,2.6179949322027873,1440.1941514007517,21.217845731735185,19.307937300324735,19.401807931543402,12641.803208965808,1208.702232984826,optimal,14997.742238294295,141
66,300,100,2,2,0.2,0.5,1041.8795880716762,3.2086687860954717,1099.7883491617736,21.435001556839282,18.806090956549568,18.806296501077124,14015.013098539785,1229.5710436971858,optimal,14984.783704638903,40
67,300,100,2,2,0.2,0.5,2438.965118526499,2.7056818514391767,1123.143845621769,20.52621904134514,22.54810938786496,22.476905191114593,12748.926484474912,1056.573114052415,optimal,14021.129099630523,24
68,300,100,2,2,0.2,0.5,2130.8497053452675,2.9960084939496374,1182.2184288426138,21.228080725469443,19.397135072177225,19.398022647734955,30548.726944243535,1161.623015569523,optimal,14714.14975784374,50
69,300,100,2,2,0.2,0.5,2207.70880613636,3.3389883231618267,1068.5646637912748,21.096969952493698,21.639651895375373,20.391783623651367,8216.174179919064,1205.0615497650579,optimal,14714.151070650096,79
70,300,100,2,2,0.2,0.5,2213.377002716128,3.1540856087556897,1104.8171263449083,20.075138645804454,23.13912464367414,23.13925330556093,23888.86526023876,1669.7088235476986,optimal,14156.376595699829,64
71,300,100,2,2,0.2,0.5,1057.4201273943445,2.7940483989469564,849.4600666928264,20.672109002207122,20.726378836326397,20.726396223047022,12348.701237582602,1082.88529100921,optimal,14628.769421541207,22
72,300,100,2,2,0.2,0.5,3338.015305634099,2.9517942566181437,1455.2312743236612,22.348352497849575,16.45777128500941,16.456907592667648,27041.238852176815,917.354393501766,optimal,15455.373252346995,150
73,300,100,2,2,0.2,0.5,1525.7605520744203,2.9667659236537514,1075.2882166797701,21.415635013230734,21.309747948567566,21.310176571581067,21466.680594456382,1139.6739647695795,optimal,14491.917478039391,39
74,300,100,2,2,0.2,0.5,1282.235048081128,2.4141515936362867,817.450382762495,21.32264890637986,20.825135144972105,20.548828136015878,9196.140702577308,1231.557639840059,optimal,14444.136518437843,49
75,300,100,2,2,0.2,0.5,3230.7181237945174,2.4335622116735,1508.4158772570493,20.515704884799487,22.83561091014239,22.835235295381544,19075.89243523497,1073.4387417556718,optimal,13869.114403493444,61
76,300,100,2,2,0.2,0.5,774.1293511372841,3.3604419932279086,673.0074978223911,21.698852174889208,19.696502450289668,19.69657301400823,10260.210316374898,1087.2527005057782,optimal,14513.218010849405,19
77,300,100,2,2,0.2,0.5,1006.3825647192706,2.9139603286301696,720.3337458557701,20.752495856431672,22.334312829358357,21.6768027924158,12456.600161936134,1208.0080314613879,optimal,14015.649718799963,55
78,300,100,2,2,0.2,0.5,2902.035309930953,2.546951057357687,1383.974942319968,21.263624372969645,19.425619972624947,19.425594392068557,23527.027811599895,955.8458799934015,optimal,14718.853817449315,94
79,300,100,2,2,0.2,0.5,1632.0050271331236,2.3716010010217983,920.165885507138,20.645080675138743,22.07511298191847,22.219983088795313,10614.20134211611,1509.096832654439,optimal,14224.03123059915,30
80,300,100,2,2,0.2,0.5,1239.3628172303538,2.049568557273421,733.9555742551539,20.61987654601553,21.809549716325765,21.809241418744868,18341.906092783436,1160.1832253513858,optimal,14282.694322053572,26
81,300,100,2,2,0.2,0.5,2600.1104259991685,2.2459143104030956,1616.776961399637,20.901795988616353,20.20924812975122,20.207474931672532,42010.76601425838,19.711957245133817,optimal,14693.967557207121,150
82,300,100,2,2,0.2,0.5,946.5790881354683,1.9336214034167387,800.6152281575042,19.865571189714288,24.14766765222538,24.14784921069825,18539.719593640417,1055.214248644188,optimal,13525.9902353195,30
83,300,100,2,2,0.2,0.5,1052.9925482728136,2.3944067280366004,892.0996954412769,19.960430509476872,23.317018488160357,23.316989540307343,16381.823588361032,1076.0185495354235,optimal,14108.352621796603,24
84,300,100,2,2,0.2,0.5,2654.113699325522,2.363841535653697,1173.7654870876936,21.92588645429596,18.334711811976575,18.118510627108325,5455.911100814119,1032.1125012962148,optimal,14852.334270978825,60
85,300,100,2,2,0.2,0.5,1391.4100112291567,2.8691308749076567,851.6645338496527,21.42809350007759,18.268151851898548,19.295039780657472,10428.126509064808,1281.1242624484003,optimal,14947.373436031401,40
86,300,100,2,2,0.2,0.5,1260.3740435130794,3.352030803882758,813.3912273598798,20.685583353388584,20.178568416249078,20.372809255757172,16199.78352167923,1001.7803167961538,optimal,14683.961581175734,32
87,300,100,2,2,0.2,0.5,1290.7250858583866,3.1654001630657054,929.3056012038058,20.567194136839507,21.95062280898112,21.948131916258298,12393.316344332881,1271.9072050340474,optimal,14350.369815901506,25
88,300,100,2,2,0.2,0.5,992.2571045560435,2.843171594798564,854.1672486688061,20.91327161104177,19.77639049858932,19.776263789213946,9423.995180503465,1156.420145869255,optimal,14718.694072184448,32
89,300,100,2,2,0.2,0.5,1489.6772529467648,2.633002616170422,942.7525537796137,20.04910753244049,21.973920800930703,21.973722096553214,7474.815624346025,1407.4880480552092,optimal,14426.394865045599,19
90,300,100,2,2,0.2,0.5,1289.6051994917802,2.076239674132535,818.6155235139515,21.372317375782,18.886520281242692,18.863478653759344,7064.783827153966,1157.9427554653957,optimal,14706.109058180562,25
91,300,100,2,2,0.2,0.5,763.8597174569326,2.9276361556154042,747.0528860095877,20.373998644158196,22.749862853095312,22.749436089096793,13860.454061619937,1248.8844952220097,optimal,14743.982485248134,27
92,300,100,2,2,0.2,0.5,1151.848794920421,2.9179020438605656,777.7786932476387,21.42057430135934,19.78210935212714,20.002167460617247,6062.851612732746,1845.1970736989751,optimal,14465.670873486419,29
93,300,100,2,2,0.2,0.5,4015.4527350395083,2.912701352503514,1444.7619850850353,21.146619761226848,19.44091257490769,20.012408025024083,8821.16533243563,1135.9895159490407,optimal,14570.264856965377,84
94,300,100,2,2,0.2,0.5,1073.0617014740008,2.258554773129335,783.0412636324421,21.251300495192204,20.78966330123336,20.788161497951933,6980.321147455834,1185.1888156421483,optimal,14189.266544301754,54
95,300,100,2,2,0.2,0.5,3151.0285857439344,2.659990495426748,1280.2133145298465,20.57639178730733,21.411611376594863,21.672028180557827,10131.05934905354,1114.5416121957824,optimal,14130.07759056439,30
96,300,100,2,2,0.2,0.5,1241.8735206432195,3.1501970764850147,984.1777591523258,20.746684425714253,22.04890544732131,22.04885737196357,14951.282206988893,740.0242898259312,optimal,14110.580056989833,27
97,300,100,2,2,0.2,0.5,1594.2501384169395,2.6123928717801297,1111.1143727625529,20.998378179671544,20.66394606733422,20.662068849574734,12825.81110631954,801.8306253412738,optimal,14333.201818952804,35
98,300,100,2,2,0.2,0.5,1114.3778172814564,2.6514141745745348,1047.004417093864,22.1297642010619,17.947046206759545,17.947019793836997,13469.878568536602,863.2185239670798,optimal,14947.751965506792,53
99,300,100,2,2,0.2,0.5,1581.8763939780792,3.029708513777293,905.8086130841596,20.959295808011575,20.660561019358177,20.36433042404067,7830.454580088146,1521.902418455109,optimal,14623.649393740676,31
